engine path: ./llama/7B/trt_engines/fp16/1-gpu-1-batch/
tokenizer path: ./meta-llama/Llama-2-7b-chat-hf_tokenizer/
num_iterations: 100
{'max_batch_size': 1, 'iteration': 0, 'max_input_tokens': 443, 'max_output_tokens': 441, 'batch_input_lengths': [442], 'batch_output_lengths': tensor([[883]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622494.5339594, 'batch_end_time': 1712622502.4556515, 'batch_latency': 7.921692132949829}
{'max_batch_size': 1, 'iteration': 88, 'max_input_tokens': 364, 'max_output_tokens': 76, 'batch_input_lengths': [363], 'batch_output_lengths': tensor([[381]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622914.0092738, 'batch_end_time': 1712622914.3853762, 'batch_latency': 0.3761024475097656}
{'max_batch_size': 1, 'iteration': 89, 'max_input_tokens': 237, 'max_output_tokens': 136, 'batch_input_lengths': [236], 'batch_output_lengths': tensor([[251]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622914.386167, 'batch_end_time': 1712622914.6960106, 'batch_latency': 0.3098435401916504}
{'max_batch_size': 1, 'iteration': 90, 'max_input_tokens': 21, 'max_output_tokens': 421, 'batch_input_lengths': [20], 'batch_output_lengths': tensor([[441]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622914.6962986, 'batch_end_time': 1712622921.6553822, 'batch_latency': 6.959083557128906}
{'max_batch_size': 1, 'iteration': 91, 'max_input_tokens': 32, 'max_output_tokens': 728, 'batch_input_lengths': [31], 'batch_output_lengths': tensor([[668]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622921.6560874, 'batch_end_time': 1712622932.247523, 'batch_latency': 10.591435670852661}
{'max_batch_size': 1, 'iteration': 92, 'max_input_tokens': 80, 'max_output_tokens': 47, 'batch_input_lengths': [79], 'batch_output_lengths': tensor([[126]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622932.2485924, 'batch_end_time': 1712622933.0567362, 'batch_latency': 0.8081438541412354}
{'max_batch_size': 1, 'iteration': 93, 'max_input_tokens': 39, 'max_output_tokens': 588, 'batch_input_lengths': [38], 'batch_output_lengths': tensor([[495]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622933.0570526, 'batch_end_time': 1712622940.6489038, 'batch_latency': 7.591851234436035}
{'max_batch_size': 1, 'iteration': 94, 'max_input_tokens': 4, 'max_output_tokens': 163, 'batch_input_lengths': [3], 'batch_output_lengths': tensor([[166]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622940.6493533, 'batch_end_time': 1712622943.332364, 'batch_latency': 2.6830108165740967}
{'max_batch_size': 1, 'iteration': 95, 'max_input_tokens': 101, 'max_output_tokens': 475, 'batch_input_lengths': [100], 'batch_output_lengths': tensor([[575]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622943.333266, 'batch_end_time': 1712622951.2374735, 'batch_latency': 7.904207468032837}
{'max_batch_size': 1, 'iteration': 96, 'max_input_tokens': 37, 'max_output_tokens': 350, 'batch_input_lengths': [36], 'batch_output_lengths': tensor([[386]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622951.2380033, 'batch_end_time': 1712622957.0347054, 'batch_latency': 5.796702146530151}
{'max_batch_size': 1, 'iteration': 97, 'max_input_tokens': 6, 'max_output_tokens': 183, 'batch_input_lengths': [5], 'batch_output_lengths': tensor([[188]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622957.0352666, 'batch_end_time': 1712622960.0488632, 'batch_latency': 3.013596534729004}
{'max_batch_size': 1, 'iteration': 98, 'max_input_tokens': 82, 'max_output_tokens': 726, 'batch_input_lengths': [81], 'batch_output_lengths': tensor([[807]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622960.049611, 'batch_end_time': 1712622972.167783, 'batch_latency': 12.11817193031311}
{'max_batch_size': 1, 'iteration': 99, 'max_input_tokens': 8, 'max_output_tokens': 314, 'batch_input_lengths': [7], 'batch_output_lengths': tensor([[321]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622972.168398, 'batch_end_time': 1712622977.3480878, 'batch_latency': 5.179689884185791}
